complaint_text,category,priority,department
Login page of the portal is not loading,Software,Medium,Development
Security guard misbehavior reported near Lab 3,Administration,Low,Admin Office
Incorrect deduction shown in April salary slip,HR,Medium,HR
WiFi signal is very weak near Auditorium,Network,Low,IT
Unable to connect to the campus WiFi from Lab 3,Network,Medium,IT
Scanner in Seminar Hall is out of order,Hardware,Low,IT
Fee already paid but portal shows transcript pending,Finance,High,Accounts
Leave request not approved since September,HR,Medium,HR
Refund request for thesis document not processed,Finance,High,Accounts
Fee already paid but portal shows leave application pending,Finance,Medium,Accounts
Appointment letter not issued yet,HR,Medium,HR
HR is not responding to my resignation email,HR,Medium,HR
Security guard misbehavior reported near Reading Room,Administration,Low,Admin Office
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Fee already paid but portal shows course registration pending,Finance,High,Accounts
Water is not available in hostel Lab 3,Hostel,High,Hostel Office
LAN cable in Main Block is not working,Network,Medium,IT
Incorrect deduction shown in March salary slip,HR,High,HR
Internet connection keeps disconnecting in Reading Room,Network,Low,IT
Exam datesheet clash between profile picture and Requirement Engineering,Academic,High,Academic Office
Portal is showing incorrect leave application details,Software,Medium,Development
Salary not received for the month of August,HR,High,HR
Printer in Boys Hostel is not printing,Hardware,Low,IT
Computer in Reading Room is not booting up,Hardware,Medium,IT
Scanner in Girls Hostel is out of order,Hardware,Medium,IT
HR is not responding to my resignation email,HR,Medium,HR
Attendance shortage error for leave application course,Academic,Medium,Academic Office
Scanner in Auditorium is out of order,Hardware,Medium,IT
Incorrect deduction shown in January salary slip,HR,High,HR
Scholarship amount not credited for April,Finance,High,Accounts
Fee voucher is showing incorrect amount,Finance,High,Accounts
Course registration issue for fee challan,Academic,High,Academic Office
Bank transaction failed but amount deducted for leave application,Finance,High,Accounts
Incorrect GPA shown for semester 3rd,Academic,High,Academic Office
Security guard misbehavior reported near Auditorium,Administration,Medium,Admin Office
Duplicate fee charged for transcript,Finance,Medium,Accounts
Exam datesheet clash between leave application and Operating Systems,Academic,High,Academic Office
Portal shows error 500 when submitting internship report,Software,Medium,Development
Keyboard in Computer Lab lab is broken,Hardware,Low,IT
Washroom in hostel Lab 2 needs urgent repair,Hostel,High,Hostel Office
Scanner in Lab 3 is out of order,Hardware,Low,IT
Mobile app crashes when I open assignment section,Software,High,Development
Hostel WiFi not working in room C-107,Hostel,High,Hostel Office
Transcript request pending since August,Academic,High,Academic Office
Incorrect deduction shown in September salary slip,HR,High,HR
Cleanliness issue in Lab 2,Administration,Low,Admin Office
Scholarship amount not credited for February,Finance,High,Accounts
Projector in Admin Block is not turning on,Hardware,Low,IT
Cleanliness issue in Boys Hostel,Administration,Medium,Admin Office
WiFi signal is very weak near Seminar Hall,Network,Medium,IT
Unable to upload fee challan on the student portal,Software,Medium,Development
Cleanliness issue in Reading Room,Administration,Low,Admin Office
Washroom in hostel Boys Hostel needs urgent repair,Hostel,Medium,Hostel Office
Monitor in Admin Block has a black screen,Hardware,Low,IT
Transcript request pending since June,Academic,High,Academic Office
Washroom in hostel Computer Lab needs urgent repair,Hostel,Medium,Hostel Office
Salary not received for the month of February,HR,Medium,HR
Portal is showing incorrect course registration details,Software,Medium,Development
Provident fund details are missing for April,HR,High,HR
Leave request not approved since July,HR,Medium,HR
Cleanliness issue in Main Block,Administration,Medium,Admin Office
Appointment letter not issued yet,HR,High,HR
Unable to upload leave application on the student portal,Software,Medium,Development
Unable to upload assignment on the student portal,Software,Medium,Development
Course registration issue for course registration,Academic,Medium,Academic Office
Parking issue near Auditorium,Administration,Low,Admin Office
Exam datesheet clash between fee challan and Requirement Engineering,Academic,Medium,Academic Office
No response from admin office regarding profile picture,Administration,Low,Admin Office
Parking issue near Lab 1,Administration,Low,Admin Office
Hostel room C-114 AC is not working,Hostel,Medium,Hostel Office
Parking issue near Sports Complex,Administration,Low,Admin Office
Portal is showing incorrect leave application details,Software,High,Development
Leave request not approved since July,HR,High,HR
Printer in Admin Block is not printing,Hardware,Low,IT
Unable to connect to the campus WiFi from Sports Complex,Network,Low,IT
Portal shows error 500 when submitting internship report,Software,Medium,Development
Scholarship amount not credited for August,Finance,Medium,Accounts
Network is extremely slow in Lab 3,Network,High,IT
Portal shows error 500 when submitting fee challan,Software,High,Development
Mess food quality complaint for Library,Hostel,Medium,Hostel Office
Student portal is down and I cannot login,Software,High,Development
Incorrect deduction shown in September salary slip,HR,High,HR
Keyboard in Girls Hostel lab is broken,Hardware,Medium,IT
Exam datesheet clash between course registration and Operating Systems,Academic,Medium,Academic Office
Salary not received for the month of December,HR,High,HR
Keyboard in Seminar Hall lab is broken,Hardware,Low,IT
Noise complaint from Girls Hostel during exams,Administration,Low,Admin Office
Internet connection keeps disconnecting in Lab 1,Network,Medium,IT
Cleanliness issue in Lab 3,Administration,Low,Admin Office
Duplicate fee charged for fee challan,Finance,High,Accounts
LAN cable in Main Block is not working,Network,Medium,IT
Water is not available in hostel Lab 1,Hostel,Low,Hostel Office
Washroom in hostel Library needs urgent repair,Hostel,Low,Hostel Office
Scholarship amount not credited for October,Finance,Medium,Accounts
LAN cable in Lab 1 is not working,Network,Medium,IT
ID card not issued after January,Administration,Low,Admin Office
Electricity issue in hostel room A-109,Hostel,Medium,Hostel Office
Parking issue near Auditorium,Administration,Medium,Admin Office
Keyboard in Admin Block lab is broken,Hardware,Low,IT
ID card not issued after July,Administration,Medium,Admin Office
Incorrect deduction shown in April salary slip,HR,High,HR
Login page of the portal is not loading,Software,High,Development
Monitor in Girls Hostel has a black screen,Hardware,Low,IT
Salary not received for the month of October,HR,High,HR
WiFi signal is very weak near Lab 2,Network,Medium,IT
Unable to connect to the campus WiFi from Auditorium,Network,Medium,IT
Unable to upload transcript on the student portal,Software,Medium,Development
Attendance shortage error for attendance sheet course,Academic,High,Academic Office
Incorrect GPA shown for semester 5th,Academic,Medium,Academic Office
Fee already paid but portal shows transcript pending,Finance,Medium,Accounts
Course registration issue for profile picture,Academic,High,Academic Office
LAN cable in Boys Hostel is not working,Network,Low,IT
Login page of the portal is not loading,Software,High,Development
WiFi is not working in Library,Network,Medium,IT
No response from admin office regarding assignment,Administration,Low,Admin Office
Unable to upload assignment on the student portal,Software,Medium,Development
Appointment letter not issued yet,HR,High,HR
Parking issue near Cafeteria,Administration,Low,Admin Office
Scholarship amount not credited for March,Finance,High,Accounts
Fee voucher is showing incorrect amount,Finance,High,Accounts
Salary not received for the month of February,HR,High,HR
Attendance shortage error for internship report course,Academic,High,Academic Office
Unable to connect to the campus WiFi from Lab 3,Network,High,IT
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Unable to upload leave application on the student portal,Software,Medium,Development
Portal is showing incorrect fee challan details,Software,High,Development
Monitor in Lab 1 has a black screen,Hardware,Medium,IT
Scholarship amount not credited for July,Finance,High,Accounts
WiFi is not working in Reading Room,Network,Medium,IT
Leave request not approved since April,HR,High,HR
Printer in Main Block is not printing,Hardware,Low,IT
Monitor in Seminar Hall has a black screen,Hardware,Medium,IT
Washroom in hostel Main Block needs urgent repair,Hostel,High,Hostel Office
WiFi is not working in Admin Block,Network,Medium,IT
Washroom in hostel Sports Complex needs urgent repair,Hostel,High,Hostel Office
Transcript request pending since March,Academic,High,Academic Office
Login page of the portal is not loading,Software,Medium,Development
Electricity issue in hostel room B-115,Hostel,Medium,Hostel Office
ID card not issued after December,Administration,Low,Admin Office
Attendance shortage error for result card course,Academic,High,Academic Office
Login page of the portal is not loading,Software,Medium,Development
Incorrect GPA shown for semester 6th,Academic,Medium,Academic Office
Salary not received for the month of February,HR,High,HR
Incorrect deduction shown in June salary slip,HR,High,HR
Transcript request pending since May,Academic,High,Academic Office
Printer in Lab 2 is not printing,Hardware,Low,IT
Security guard misbehavior reported near Admin Block,Administration,Low,Admin Office
Portal is showing incorrect result card details,Software,High,Development
Login page of the portal is not loading,Software,High,Development
Unable to upload profile picture on the student portal,Software,High,Development
Fee already paid but portal shows profile picture pending,Finance,Medium,Accounts
Incorrect deduction shown in August salary slip,HR,High,HR
Noise complaint from Reading Room during exams,Administration,Medium,Admin Office
Hostel room A-101 AC is not working,Hostel,Medium,Hostel Office
Hostel WiFi not working in room A-109,Hostel,Medium,Hostel Office
LAN cable in Main Block is not working,Network,Medium,IT
Student portal is down and I cannot login,Software,Medium,Development
Unable to connect to the campus WiFi from Lab 2,Network,Medium,IT
Network is extremely slow in Admin Block,Network,Medium,IT
Exam datesheet clash between assignment and Requirement Engineering,Academic,Medium,Academic Office
No response from admin office regarding profile picture,Administration,Medium,Admin Office
Incorrect GPA shown for semester 5th,Academic,High,Academic Office
Student portal is down and I cannot login,Software,High,Development
Provident fund details are missing for June,HR,High,HR
Mess food quality complaint for Lab 1,Hostel,Low,Hostel Office
Course registration issue for thesis document,Academic,High,Academic Office
WiFi is not working in Main Block,Network,High,IT
Login page of the portal is not loading,Software,Medium,Development
Unable to connect to the campus WiFi from Lab 2,Network,Medium,IT
Bank transaction failed but amount deducted for assignment,Finance,High,Accounts
Projector in Lab 1 is not turning on,Hardware,Medium,IT
Salary not received for the month of September,HR,High,HR
Login page of the portal is not loading,Software,High,Development
Fee already paid but portal shows transcript pending,Finance,High,Accounts
Salary not received for the month of December,HR,High,HR
Student portal is down and I cannot login,Software,High,Development
Incorrect deduction shown in January salary slip,HR,High,HR
Attendance shortage error for leave application course,Academic,Medium,Academic Office
Printer in Computer Lab is not printing,Hardware,Medium,IT
Washroom in hostel Lab 1 needs urgent repair,Hostel,Medium,Hostel Office
Exam datesheet clash between transcript and Database Systems,Academic,Medium,Academic Office
Printer in Girls Hostel is not printing,Hardware,Low,IT
Mobile app crashes when I open internship report section,Software,High,Development
Course registration issue for leave application,Academic,High,Academic Office
Transcript request pending since March,Academic,High,Academic Office
Portal is showing incorrect attendance sheet details,Software,Medium,Development
Printer in Cafeteria is not printing,Hardware,Low,IT
Unable to upload result card on the student portal,Software,Medium,Development
Scholarship amount not credited for June,Finance,Medium,Accounts
Bank transaction failed but amount deducted for course registration,Finance,Medium,Accounts
Hostel WiFi not working in room D-111,Hostel,High,Hostel Office
Mobile app crashes when I open transcript section,Software,High,Development
Keyboard in Lab 2 lab is broken,Hardware,Low,IT
Incorrect deduction shown in February salary slip,HR,Medium,HR
Attendance shortage error for transcript course,Academic,High,Academic Office
Exam datesheet clash between thesis document and Database Systems,Academic,Medium,Academic Office
HR is not responding to my resignation email,HR,High,HR
Result of leave application not uploaded on portal,Academic,High,Academic Office
Attendance shortage error for transcript course,Academic,High,Academic Office
Login page of the portal is not loading,Software,High,Development
Hostel WiFi not working in room C-106,Hostel,Low,Hostel Office
Hostel room A-117 AC is not working,Hostel,Low,Hostel Office
Cleanliness issue in Boys Hostel,Administration,Low,Admin Office
LAN cable in Admin Block is not working,Network,Medium,IT
Cleanliness issue in Lab 1,Administration,Low,Admin Office
WiFi signal is very weak near Library,Network,High,IT
Mess food quality complaint for Admin Block,Hostel,High,Hostel Office
Unable to upload attendance sheet on the student portal,Software,High,Development
Mess food quality complaint for Sports Complex,Hostel,Medium,Hostel Office
Provident fund details are missing for December,HR,High,HR
Unable to connect to the campus WiFi from Main Block,Network,Medium,IT
Keyboard in Girls Hostel lab is broken,Hardware,Low,IT
WiFi is not working in Auditorium,Network,High,IT
Parking issue near Boys Hostel,Administration,Medium,Admin Office
Student portal is down and I cannot login,Software,High,Development
Unable to connect to the campus WiFi from Seminar Hall,Network,Low,IT
ID card not issued after December,Administration,Medium,Admin Office
Electricity issue in hostel room C-113,Hostel,Medium,Hostel Office
Electricity issue in hostel room D-118,Hostel,Medium,Hostel Office
Scanner in Lab 3 is out of order,Hardware,Medium,IT
Network is extremely slow in Library,Network,Medium,IT
Washroom in hostel Auditorium needs urgent repair,Hostel,Medium,Hostel Office
Fee already paid but portal shows assignment pending,Finance,Medium,Accounts
No response from admin office regarding internship report,Administration,Low,Admin Office
Attendance shortage error for thesis document course,Academic,Medium,Academic Office
Transcript request pending since December,Academic,Medium,Academic Office
Student portal is down and I cannot login,Software,High,Development
Incorrect GPA shown for semester 3rd,Academic,Medium,Academic Office
Unable to connect to the campus WiFi from Boys Hostel,Network,High,IT
Student portal is down and I cannot login,Software,Medium,Development
Bank transaction failed but amount deducted for assignment,Finance,Medium,Accounts
ID card not issued after August,Administration,Low,Admin Office
Refund request for internship report not processed,Finance,High,Accounts
Mess food quality complaint for Admin Block,Hostel,High,Hostel Office
Salary not received for the month of January,HR,High,HR
Fee already paid but portal shows transcript pending,Finance,Medium,Accounts
ID card not issued after July,Administration,Medium,Admin Office
Electricity issue in hostel room C-103,Hostel,Low,Hostel Office
Login page of the portal is not loading,Software,Medium,Development
Mobile app crashes when I open transcript section,Software,High,Development
Incorrect deduction shown in October salary slip,HR,Medium,HR
WiFi signal is very weak near Computer Lab,Network,Low,IT
Exam datesheet clash between profile picture and Operating Systems,Academic,High,Academic Office
Monitor in Library has a black screen,Hardware,Low,IT
Network is extremely slow in Lab 3,Network,Medium,IT
Projector in Boys Hostel is not turning on,Hardware,Low,IT
Network is extremely slow in Boys Hostel,Network,Medium,IT
LAN cable in Girls Hostel is not working,Network,Medium,IT
Provident fund details are missing for January,HR,High,HR
Duplicate fee charged for assignment,Finance,Medium,Accounts
Bank transaction failed but amount deducted for course registration,Finance,High,Accounts
Printer in Seminar Hall is not printing,Hardware,Medium,IT
No response from admin office regarding assignment,Administration,Low,Admin Office
Incorrect GPA shown for semester 8th,Academic,High,Academic Office
Network is extremely slow in Boys Hostel,Network,Medium,IT
Incorrect deduction shown in April salary slip,HR,High,HR
Refund request for attendance sheet not processed,Finance,High,Accounts
Monitor in Cafeteria has a black screen,Hardware,Medium,IT
Mess food quality complaint for Seminar Hall,Hostel,Medium,Hostel Office
Exam datesheet clash between internship report and Data Structures,Academic,Medium,Academic Office
Internet connection keeps disconnecting in Cafeteria,Network,Low,IT
No response from admin office regarding leave application,Administration,Medium,Admin Office
Unable to connect to the campus WiFi from Lab 1,Network,High,IT
Student portal is down and I cannot login,Software,Medium,Development
Student portal is down and I cannot login,Software,Medium,Development
Course registration issue for profile picture,Academic,High,Academic Office
Leave request not approved since February,HR,High,HR
Incorrect GPA shown for semester 3rd,Academic,High,Academic Office
WiFi is not working in Seminar Hall,Network,Low,IT
Bank transaction failed but amount deducted for fee challan,Finance,High,Accounts
Transcript request pending since July,Academic,Medium,Academic Office
Course registration issue for internship report,Academic,Medium,Academic Office
Electricity issue in hostel room C-101,Hostel,Medium,Hostel Office
Network is extremely slow in Main Block,Network,Medium,IT
Security guard misbehavior reported near Lab 3,Administration,Medium,Admin Office
Parking issue near Lab 2,Administration,Low,Admin Office
Monitor in Library has a black screen,Hardware,Low,IT
Login page of the portal is not loading,Software,High,Development
Security guard misbehavior reported near Sports Complex,Administration,Low,Admin Office
Attendance shortage error for fee challan course,Academic,High,Academic Office
LAN cable in Lab 2 is not working,Network,Medium,IT
Fee voucher is showing incorrect amount,Finance,High,Accounts
Login page of the portal is not loading,Software,Medium,Development
Login page of the portal is not loading,Software,Medium,Development
Parking issue near Lab 1,Administration,Low,Admin Office
Computer in Admin Block is not booting up,Hardware,Low,IT
Result of attendance sheet not uploaded on portal,Academic,Medium,Academic Office
Incorrect GPA shown for semester 8th,Academic,High,Academic Office
Leave request not approved since September,HR,High,HR
LAN cable in Boys Hostel is not working,Network,High,IT
Projector in Seminar Hall is not turning on,Hardware,Low,IT
Fee voucher is showing incorrect amount,Finance,High,Accounts
Incorrect deduction shown in January salary slip,HR,High,HR
Internet connection keeps disconnecting in Library,Network,High,IT
Mess food quality complaint for Lab 3,Hostel,Medium,Hostel Office
Hostel WiFi not working in room C-114,Hostel,Medium,Hostel Office
Internet connection keeps disconnecting in Boys Hostel,Network,Medium,IT
HR is not responding to my resignation email,HR,High,HR
Projector in Main Block is not turning on,Hardware,Low,IT
Water is not available in hostel Admin Block,Hostel,Medium,Hostel Office
Keyboard in Auditorium lab is broken,Hardware,Low,IT
Salary not received for the month of June,HR,Medium,HR
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Fee already paid but portal shows profile picture pending,Finance,High,Accounts
Security guard misbehavior reported near Computer Lab,Administration,Medium,Admin Office
Bank transaction failed but amount deducted for leave application,Finance,High,Accounts
Incorrect GPA shown for semester 5th,Academic,High,Academic Office
Electricity issue in hostel room B-114,Hostel,Low,Hostel Office
Incorrect deduction shown in August salary slip,HR,High,HR
No response from admin office regarding attendance sheet,Administration,Medium,Admin Office
Portal shows error 500 when submitting result card,Software,Medium,Development
No response from admin office regarding transcript,Administration,Low,Admin Office
Noise complaint from Admin Block during exams,Administration,Medium,Admin Office
Transcript request pending since September,Academic,Medium,Academic Office
Course registration issue for transcript,Academic,High,Academic Office
Cleanliness issue in Reading Room,Administration,Low,Admin Office
No response from admin office regarding leave application,Administration,Medium,Admin Office
Appointment letter not issued yet,HR,High,HR
Leave request not approved since November,HR,High,HR
Bank transaction failed but amount deducted for course registration,Finance,High,Accounts
Scholarship amount not credited for October,Finance,Medium,Accounts
Exam datesheet clash between leave application and Requirement Engineering,Academic,High,Academic Office
Transcript request pending since December,Academic,Medium,Academic Office
Fee voucher is showing incorrect amount,Finance,High,Accounts
WiFi signal is very weak near Seminar Hall,Network,Low,IT
Scholarship amount not credited for September,Finance,Medium,Accounts
Incorrect deduction shown in February salary slip,HR,High,HR
Scanner in Boys Hostel is out of order,Hardware,Low,IT
Hostel room B-117 AC is not working,Hostel,Medium,Hostel Office
Student portal is down and I cannot login,Software,High,Development
Projector in Reading Room is not turning on,Hardware,Low,IT
Provident fund details are missing for December,HR,High,HR
Water is not available in hostel Lab 3,Hostel,Low,Hostel Office
Network is extremely slow in Main Block,Network,Low,IT
WiFi signal is very weak near Lab 2,Network,Medium,IT
Electricity issue in hostel room C-118,Hostel,Medium,Hostel Office
Water is not available in hostel Computer Lab,Hostel,High,Hostel Office
Mobile app crashes when I open attendance sheet section,Software,High,Development
Bank transaction failed but amount deducted for result card,Finance,High,Accounts
WiFi signal is very weak near Auditorium,Network,Medium,IT
Noise complaint from Admin Block during exams,Administration,Low,Admin Office
Parking issue near Reading Room,Administration,Low,Admin Office
Keyboard in Auditorium lab is broken,Hardware,Medium,IT
Exam datesheet clash between assignment and Data Structures,Academic,High,Academic Office
Bank transaction failed but amount deducted for assignment,Finance,High,Accounts
LAN cable in Sports Complex is not working,Network,High,IT
Internet connection keeps disconnecting in Lab 3,Network,Medium,IT
WiFi is not working in Reading Room,Network,Medium,IT
LAN cable in Cafeteria is not working,Network,Low,IT
Scanner in Girls Hostel is out of order,Hardware,Low,IT
Transcript request pending since January,Academic,Medium,Academic Office
HR is not responding to my resignation email,HR,Medium,HR
Network is extremely slow in Computer Lab,Network,Medium,IT
Hostel room C-114 AC is not working,Hostel,Medium,Hostel Office
Hostel WiFi not working in room B-104,Hostel,High,Hostel Office
Mobile app crashes when I open course registration section,Software,Medium,Development
Appointment letter not issued yet,HR,Medium,HR
Cleanliness issue in Lab 3,Administration,Medium,Admin Office
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Login page of the portal is not loading,Software,High,Development
WiFi is not working in Sports Complex,Network,High,IT
Parking issue near Reading Room,Administration,Medium,Admin Office
Washroom in hostel Sports Complex needs urgent repair,Hostel,Medium,Hostel Office
Noise complaint from Girls Hostel during exams,Administration,Low,Admin Office
Incorrect deduction shown in August salary slip,HR,Medium,HR
Electricity issue in hostel room A-116,Hostel,High,Hostel Office
Login page of the portal is not loading,Software,High,Development
Refund request for thesis document not processed,Finance,Medium,Accounts
Internet connection keeps disconnecting in Reading Room,Network,High,IT
Leave request not approved since February,HR,High,HR
Login page of the portal is not loading,Software,Medium,Development
Keyboard in Girls Hostel lab is broken,Hardware,Low,IT
Incorrect GPA shown for semester 3rd,Academic,Medium,Academic Office
Scanner in Girls Hostel is out of order,Hardware,Low,IT
LAN cable in Library is not working,Network,Low,IT
Computer in Girls Hostel is not booting up,Hardware,Low,IT
Provident fund details are missing for April,HR,High,HR
Incorrect deduction shown in July salary slip,HR,High,HR
WiFi is not working in Computer Lab,Network,Medium,IT
Attendance shortage error for assignment course,Academic,High,Academic Office
Noise complaint from Seminar Hall during exams,Administration,Low,Admin Office
Unable to connect to the campus WiFi from Lab 3,Network,Low,IT
Incorrect GPA shown for semester 7th,Academic,High,Academic Office
Mobile app crashes when I open internship report section,Software,Medium,Development
Computer in Reading Room is not booting up,Hardware,Medium,IT
Projector in Auditorium is not turning on,Hardware,Low,IT
ID card not issued after September,Administration,Low,Admin Office
Attendance shortage error for attendance sheet course,Academic,Medium,Academic Office
Electricity issue in hostel room D-110,Hostel,Medium,Hostel Office
Hostel room C-113 AC is not working,Hostel,High,Hostel Office
HR is not responding to my resignation email,HR,Medium,HR
Transcript request pending since May,Academic,Medium,Academic Office
Keyboard in Lab 2 lab is broken,Hardware,Low,IT
Appointment letter not issued yet,HR,Medium,HR
Washroom in hostel Lab 2 needs urgent repair,Hostel,Low,Hostel Office
Unable to connect to the campus WiFi from Library,Network,Medium,IT
Hostel WiFi not working in room D-113,Hostel,Low,Hostel Office
Appointment letter not issued yet,HR,High,HR
Scanner in Lab 2 is out of order,Hardware,Low,IT
Printer in Main Block is not printing,Hardware,Low,IT
Mobile app crashes when I open profile picture section,Software,High,Development
Hostel room A-105 AC is not working,Hostel,Low,Hostel Office
Unable to connect to the campus WiFi from Lab 2,Network,Medium,IT
Security guard misbehavior reported near Boys Hostel,Administration,Low,Admin Office
Unable to upload transcript on the student portal,Software,Medium,Development
Course registration issue for attendance sheet,Academic,Medium,Academic Office
Bank transaction failed but amount deducted for thesis document,Finance,High,Accounts
Washroom in hostel Lab 3 needs urgent repair,Hostel,High,Hostel Office
Parking issue near Cafeteria,Administration,Low,Admin Office
Result of internship report not uploaded on portal,Academic,High,Academic Office
Noise complaint from Girls Hostel during exams,Administration,Medium,Admin Office
Leave request not approved since May,HR,Medium,HR
Student portal is down and I cannot login,Software,High,Development
Hostel WiFi not working in room B-108,Hostel,Low,Hostel Office
Security guard misbehavior reported near Computer Lab,Administration,Medium,Admin Office
Unable to connect to the campus WiFi from Library,Network,Low,IT
Portal is showing incorrect leave application details,Software,High,Development
Exam datesheet clash between thesis document and Database Systems,Academic,Medium,Academic Office
Portal is showing incorrect profile picture details,Software,High,Development
Hostel room D-112 AC is not working,Hostel,Medium,Hostel Office
Washroom in hostel Seminar Hall needs urgent repair,Hostel,High,Hostel Office
Unable to upload profile picture on the student portal,Software,Medium,Development
Security guard misbehavior reported near Boys Hostel,Administration,Medium,Admin Office
No response from admin office regarding course registration,Administration,Low,Admin Office
Hostel room C-105 AC is not working,Hostel,Low,Hostel Office
Mess food quality complaint for Admin Block,Hostel,Low,Hostel Office
Unable to connect to the campus WiFi from Auditorium,Network,Medium,IT
WiFi signal is very weak near Admin Block,Network,High,IT
Washroom in hostel Lab 2 needs urgent repair,Hostel,Low,Hostel Office
Internet connection keeps disconnecting in Seminar Hall,Network,High,IT
Unable to connect to the campus WiFi from Main Block,Network,Medium,IT
Mobile app crashes when I open transcript section,Software,Medium,Development
Computer in Seminar Hall is not booting up,Hardware,Low,IT
Monitor in Cafeteria has a black screen,Hardware,Medium,IT
Exam datesheet clash between internship report and Operating Systems,Academic,High,Academic Office
Portal is showing incorrect assignment details,Software,High,Development
Monitor in Girls Hostel has a black screen,Hardware,Low,IT
HR is not responding to my resignation email,HR,Medium,HR
Mess food quality complaint for Reading Room,Hostel,Low,Hostel Office
WiFi signal is very weak near Girls Hostel,Network,Medium,IT
